n,passes,wall_time,final_relgap,reg,strategy,reached_tol,ρ,seed,s,p,μ0
500,28,0.22269797325134277,7.409163158344596e-11,0.2,exact,true,0.6,3,10,1000,0.7
500,25,0.3746659755706787,9.025508743606587e-11,0.2,exact,true,0.6,3,10,1000,0.9
500,25,0.1932849884033203,9.325001088049651e-11,0.2,exact,true,0.6,3,10,1000,0.95
500,48,0.37387704849243164,8.162764653874227e-11,0.2,exact,true,0.6,3,10,1000,0.99
500,53,0.6529800891876221,8.467752345689884e-11,0.1,exact,true,0.6,3,10,1000,0.5
500,61,0.5091350078582764,7.733793353586226e-11,0.1,exact,true,0.6,3,10,1000,0.7
500,56,0.6662571430206299,8.750404689819986e-11,0.1,exact,true,0.6,3,10,1000,0.9
500,56,0.46036696434020996,8.850492198928971e-11,0.1,exact,true,0.6,3,10,1000,0.95
500,77,0.8304460048675537,9.66382224123446e-11,0.1,exact,true,0.6,3,10,1000,0.99
500,114,1.0069479942321777,8.805133815234562e-11,0.05,exact,true,0.6,3,10,1000,0.5
500,127,1.3625938892364502,9.71420951483823e-11,0.05,exact,true,0.6,3,10,1000,0.7
500,114,1.0131220817565918,8.619111550114892e-11,0.05,exact,true,0.6,3,10,1000,0.9
500,101,1.0431408882141113,9.291744629342168e-11,0.05,exact,true,0.6,3,10,1000,0.95
500,130,1.1263270378112793,9.892569900399348e-11,0.05,exact,true,0.6,3,10,1000,0.99
500,222,2.1206789016723633,9.657549844891457e-11,0.02,exact,true,0.6,3,10,1000,0.5
500,237,2.0862319469451904,9.776143268379586e-11,0.02,exact,true,0.6,3,10,1000,0.7
500,211,2.0966849327087402,9.822784824062244e-11,0.02,exact,true,0.6,3,10,1000,0.9
500,195,1.7299540042877197,8.308966944656594e-11,0.02,exact,true,0.6,3,10,1000,0.95
500,290,3.582089900970459,9.171265993240607e-11,0.02,exact,true,0.6,3,10,1000,0.99
500,331,3.2158501148223877,9.402156302048422e-11,0.01,exact,true,0.6,3,10,1000,0.5
500,329,3.4219110012054443,9.579161661660505e-11,0.01,exact,true,0.6,3,10,1000,0.7
500,309,3.0010478496551514,9.578072181674811e-11,0.01,exact,true,0.6,3,10,1000,0.9
500,336,3.6846489906311035,9.869610043752227e-11,0.01,exact,true,0.6,3,10,1000,0.95
500,1456,29.794677019119263,7.404908407542504e-11,0.01,exact,true,0.6,3,10,1000,0.99
