p_K,amplitude,strategy,pass,relgaps,p_K_str,amp_str
0.005,2.0,exact,40,3.5758296641730966e-9,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,exact,41,2.4615777966940703e-9,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,exact,42,1.6865680456223223e-9,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,exact,43,1.1443035678758865e-9,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,exact,44,8.019203865710236e-10,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,exact,45,1.033573021626824e-9,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,exact,46,6.981279510169798e-10,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,exact,47,4.578218550412151e-10,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,exact,48,2.851998711622465e-10,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,exact,49,1.607714263264e-10,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,exact,50,1.0e-10,$\bar{p}_K = 0.005$,amp = 2.0
0.01,2.0,exact,51,1.0383506403680801e-7,$\bar{p}_K = 0.01$,amp = 2.0
0.01,2.0,exact,52,8.774912962031001e-8,$\bar{p}_K = 0.01$,amp = 2.0
0.01,2.0,exact,53,7.414372185645842e-8,$\bar{p}_K = 0.01$,amp = 2.0
0.01,2.0,exact,54,6.263626801758152e-8,$\bar{p}_K = 0.01$,amp = 2.0
0.01,2.0,exact,55,5.290322563728515e-8,$\bar{p}_K = 0.01$,amp = 2.0
0.01,2.0,exact,56,4.467095206598655e-8,$\bar{p}_K = 0.01$,amp = 2.0
0.01,2.0,exact,57,3.7708010656105844e-8,$\bar{p}_K = 0.01$,amp = 2.0
0.01,2.0,exact,58,3.1818662322461486e-8,$\bar{p}_K = 0.01$,amp = 2.0
0.01,2.0,exact,59,2.6837354852790264e-8,$\bar{p}_K = 0.01$,amp = 2.0
0.01,2.0,exact,60,2.262405986832867e-8,$\bar{p}_K = 0.01$,amp = 2.0
0.01,2.0,exact,61,1.9060388317232703e-8,$\bar{p}_K = 0.01$,amp = 2.0
0.01,2.0,exact,62,1.6046132685272666e-8,$\bar{p}_K = 0.01$,amp = 2.0
0.01,2.0,exact,63,1.3496602274748021e-8,$\bar{p}_K = 0.01$,amp = 2.0
0.01,2.0,exact,64,1.134013379790314e-8,$\bar{p}_K = 0.01$,amp = 2.0
0.01,2.0,exact,65,9.516133253373596e-9,$\bar{p}_K = 0.01$,amp = 2.0
0.01,2.0,exact,66,7.97332990054805e-9,$\bar{p}_K = 0.01$,amp = 2.0
0.01,2.0,exact,67,6.668378341488157e-9,$\bar{p}_K = 0.01$,amp = 2.0
0.01,2.0,exact,68,5.5646050667433966e-9,$\bar{p}_K = 0.01$,amp = 2.0
0.01,2.0,exact,69,4.63099364840104e-9,$\bar{p}_K = 0.01$,amp = 2.0
0.01,2.0,exact,70,3.841311727267096e-9,$\bar{p}_K = 0.01$,amp = 2.0
0.01,2.0,exact,71,3.173368076880815e-9,$\bar{p}_K = 0.01$,amp = 2.0
0.01,2.0,exact,72,2.6083973712392215e-9,$\bar{p}_K = 0.01$,amp = 2.0
0.01,2.0,exact,73,2.1305027974077108e-9,$\bar{p}_K = 0.01$,amp = 2.0
0.01,2.0,exact,74,1.7262954890635272e-9,$\bar{p}_K = 0.01$,amp = 2.0
0.01,2.0,exact,75,1.38441218913804e-9,$\bar{p}_K = 0.01$,amp = 2.0
0.01,2.0,exact,76,1.0952281018694648e-9,$\bar{p}_K = 0.01$,amp = 2.0
0.01,2.0,exact,77,8.506179489273128e-10,$\bar{p}_K = 0.01$,amp = 2.0
0.01,2.0,exact,78,6.437225133850063e-10,$\bar{p}_K = 0.01$,amp = 2.0
0.01,2.0,exact,79,4.687162219340389e-10,$\bar{p}_K = 0.01$,amp = 2.0
0.01,2.0,exact,80,3.206871538254273e-10,$\bar{p}_K = 0.01$,amp = 2.0
0.01,2.0,exact,81,1.9548219455929912e-10,$\bar{p}_K = 0.01$,amp = 2.0
0.01,2.0,exact,82,1.0e-10,$\bar{p}_K = 0.01$,amp = 2.0
0.01,2.0,exact,83,1.0e-10,$\bar{p}_K = 0.01$,amp = 2.0
