primals,time,strategy,gaps,relgaps,dataset
-14412.02576857113,2.757506847381592,unguarded_newton,7.916134563856758e-6,5.492728566389178e-10,congress109
-14412.025768571135,2.761119842529297,unguarded_newton,7.565753548988141e-6,5.24961144982621e-10,congress109
-14412.02576857113,2.7644219398498535,unguarded_newton,7.2240745794260874e-6,5.01253237777295e-10,congress109
-14412.025768571128,2.7680418491363525,unguarded_newton,6.891088560223579e-6,4.781485039564145e-10,congress109
-14412.025768571128,2.7715539932250977,unguarded_newton,6.566811862285249e-6,4.5564807943972415e-10,congress109
-14412.025768571128,2.7752628326416016,unguarded_newton,6.251217200770043e-6,4.3375007102764957e-10,congress109
-14412.02576857113,2.778610944747925,unguarded_newton,5.944229997112416e-6,4.12449303974687e-10,congress109
-14412.025768571133,2.7821779251098633,unguarded_newton,5.645828423439525e-6,3.9174426372117677e-10,congress109
-14412.025768571131,2.7857789993286133,unguarded_newton,5.3559579100692645e-6,3.7163116386797e-10,congress109
-14412.02576857113,2.7894070148468018,unguarded_newton,5.074536602478474e-6,3.52104324816343e-10,congress109
-14412.02576857113,2.7932398319244385,unguarded_newton,4.801509930985048e-6,3.331599601671466e-10,congress109
-14412.025768571128,2.7966318130493164,unguarded_newton,4.536805136012845e-6,3.147930213881823e-10,congress109
-14412.02576857113,2.800020933151245,unguarded_newton,4.280291250324808e-6,2.9699442112149196e-10,congress109
-14412.025768571126,2.8039908409118652,unguarded_newton,4.03192825615406e-6,2.797613826743667e-10,congress109
-14412.02576857113,2.807389974594116,unguarded_newton,3.84967825084459e-6,2.671156930096347e-10,congress109
-14412.025768571126,2.8109049797058105,unguarded_newton,3.8098005461506546e-6,2.643487187248053e-10,congress109
-14412.025768571128,2.8149428367614746,unguarded_newton,3.7667796277673915e-6,2.6136364784898986e-10,congress109
-14412.025768571126,2.8187599182128906,unguarded_newton,3.720931999851018e-6,2.5818244149725305e-10,congress109
-14412.02576857113,2.8224198818206787,unguarded_newton,3.6723740777233616e-6,2.5481317732111274e-10,congress109
-14412.02576857113,2.825875997543335,unguarded_newton,3.621396899688989e-6,2.5127604944936413e-10,congress109
-14412.025768571133,2.829502820968628,unguarded_newton,3.568182364688255e-6,2.475836792125039e-10,congress109
-14412.02576857113,2.832859992980957,unguarded_newton,3.512916009640321e-6,2.43748940367639e-10,congress109
