n,Fstar,time,reg,strategy,gaps,primals,dual_relgaps,dual_cert,it,K,s,relgaps,p
500,444.82788634384883,0.5365989208221436,0.05,exact,0.00043428922583643725,444.82832063307467,Float64(91),9.196438882790405e-6,seed = 3,5,5,9.76308453604311e-7,200
500,444.82788634384883,0.5453860759735107,0.05,exact,0.00037012792694213204,444.8282564717758,Float64(91),9.196438882790405e-6,seed = 3,5,5,8.320699720161558e-7,200
500,444.82788634384883,0.5538918972015381,0.05,exact,0.00031547545177090797,444.8282018193006,Float64(91),9.196438882790405e-6,seed = 3,5,5,7.092079014287509e-7,200
500,444.82788634384883,0.5627350807189941,0.05,exact,0.00026891198365319724,444.8281552558325,Float64(91),9.196438882790405e-6,seed = 3,5,5,6.045304080718765e-7,200
500,444.82788634384883,0.5711588859558105,0.05,exact,0.00022923476069536264,444.8281155786095,Float64(91),9.196438882790405e-6,seed = 3,5,5,5.153336104431317e-7,200
500,444.82788634384883,0.5799539089202881,0.05,exact,0.00019553020831608592,444.82808187405715,Float64(91),9.196438882790405e-6,seed = 3,5,5,4.395637376136586e-7,200
500,444.82788634384883,0.5883369445800781,0.05,exact,0.00016683218035495884,444.8280531760292,Float64(91),9.196438882790405e-6,seed = 3,5,5,3.750488345642942e-7,200
500,444.82788634384883,0.5970518589019775,0.05,exact,0.00014238613584893756,444.8280287299847,Float64(91),9.196438882790405e-6,seed = 3,5,5,3.200926475613853e-7,200
500,444.82788634384883,0.6059958934783936,0.05,exact,0.00012154577143519418,444.82800788962027,Float64(91),9.196438882790405e-6,seed = 3,5,5,2.732422475447957e-7,200
500,444.82788634384883,0.6145758628845215,0.05,exact,0.00010377771673120151,444.82799012156556,Float64(91),9.196438882790405e-6,seed = 3,5,5,2.3329858562640128e-7,200
500,444.82788634384883,0.6231839656829834,0.05,exact,8.862138497534033e-5,444.8279749652338,Float64(91),9.196438882790405e-6,seed = 3,5,5,1.9922623490119193e-7,200
500,444.82788634384883,0.6323239803314209,0.05,exact,7.569271707552616e-5,444.8279620365659,Float64(91),9.196438882790405e-6,seed = 3,5,5,1.701618072950944e-7,200
500,444.82788634384883,0.6408209800720215,0.05,exact,6.466154582085437e-5,444.82795100539465,Float64(91),9.196438882790405e-6,seed = 3,5,5,1.4536306694331535e-7,200
