Fstar,time,final_relgap,reg,primal_relgaps,amplitude,gaps,primals,dual_relgaps,it,pass,s,relgaps,p_K,passes,duals,strategy,dual_bound,reached_tol,dual_cert,K,p,n
146.3007024228878,1.082550048828125,2.2624498686733736e-6,0.05,Float64(1000),0.5,1.903220630388148,148.20392303941398,Float64(1000),1,83,5,0.013008964405972677,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,1.0938000679016113,2.2624498686733736e-6,0.05,Float64(1000),0.5,1.8752915078844978,148.17599391691033,Float64(1000),1,84,5,0.012818062229557146,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,1.1050240993499756,2.2624498686733736e-6,0.05,Float64(1000),0.5,1.8478633115802552,148.1485657206061,Float64(1000),1,85,5,0.012630584002521978,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,1.1159279346466064,2.2624498686733736e-6,0.05,Float64(1000),0.5,1.8209423728191325,148.12164478184496,Float64(1000),1,86,5,0.012446573001103087,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,1.1262171268463135,2.2624498686733736e-6,0.05,Float64(1000),0.5,1.7944951366010287,148.09519754562686,Float64(1000),1,87,5,0.01226579986891636,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,1.1332371234893799,2.2624498686733736e-6,0.05,Float64(1000),0.5,1.7685125720558972,148.06921498108173,Float64(1000),1,88,5,0.012088202877823126,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,1.1405720710754395,2.2624498686733736e-6,0.05,Float64(1000),0.5,1.742981793958478,148.0436842029843,Float64(1000),1,89,5,0.011913693954252673,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,1.1477539539337158,2.2624498686733736e-6,0.05,Float64(1000),0.5,1.7178986997396066,148.01860110876544,Float64(1000),1,90,5,0.011742245056171736,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,1.1546540260314941,2.2624498686733736e-6,0.05,Float64(1000),0.5,1.6932446255595153,147.99394703458535,Float64(1000),1,91,5,0.011573728611808894,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,1.161972999572754,2.2624498686733736e-6,0.05,Float64(1000),0.5,1.669012028869247,147.96971443789508,Float64(1000),1,92,5,0.011408093066053117,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,1.1686151027679443,2.2624498686733736e-6,0.05,Float64(1000),0.5,1.6451959917957026,147.94589840082153,Float64(1000),1,93,5,0.011245304804075379,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,1.176347017288208,2.2624498686733736e-6,0.05,Float64(1000),0.5,1.6217752700704011,147.92247767909623,Float64(1000),1,94,5,0.011085218616261987,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,1.1834399700164795,2.2624498686733736e-6,0.05,Float64(1000),0.5,1.5987461413438098,147.89944855036964,Float64(1000),1,95,5,0.010927809059471038,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,1.1909520626068115,2.2624498686733736e-6,0.05,Float64(1000),0.5,1.5761017293276325,147.87680413835346,Float64(1000),1,96,5,0.01077302913264114,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,1.2007379531860352,2.2624498686733736e-6,0.05,Float64(1000),0.5,1.553829211947118,147.85453162097295,Float64(1000),1,97,5,0.010620791193850286,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,1.2118079662322998,2.2624498686733736e-6,0.05,Float64(1000),0.5,1.531923650636287,147.83262605966212,Float64(1000),1,98,5,0.010471061486828701,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,1.2225279808044434,2.2624498686733736e-6,0.05,Float64(1000),0.5,1.510384930566289,147.81108733959212,Float64(1000),1,99,5,0.010323839226693958,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,1.2326569557189941,2.2624498686733736e-6,0.05,Float64(1000),0.5,1.4892095036103399,147.78991191263617,Float64(1000),1,100,5,0.010179100161157958,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
248.63682536667335,6.374558925628662,0.6306856985050722,0.05,Float64(1000),2.0,156.81168988045857,248.63682536670007,Float64(1000),3,901,5,0.6306856985050502,0.005,1000,Float64(1000),exact,91.82513548624148,false,0.6306856985049428,5,200,500
248.63682536667335,6.382561922073364,0.6306856985050722,0.05,Float64(1000),2.0,156.81168988045863,248.6368253667001,Float64(1000),3,902,5,0.6306856985050504,0.005,1000,Float64(1000),exact,91.82513548624148,false,0.6306856985049428,5,200,500
248.63682536667335,6.389895915985107,0.6306856985050722,0.05,Float64(1000),2.0,156.8116898804587,248.63682536670018,Float64(1000),3,903,5,0.6306856985050507,0.005,1000,Float64(1000),exact,91.82513548624148,false,0.6306856985049428,5,200,500
248.63682536667335,6.397908926010132,0.6306856985050722,0.05,Float64(1000),2.0,156.8116898804589,248.63682536670038,Float64(1000),3,904,5,0.6306856985050516,0.005,1000,Float64(1000),exact,91.82513548624148,false,0.6306856985049428,5,200,500
248.63682536667335,6.405208110809326,0.6306856985050722,0.05,Float64(1000),2.0,156.8116898804589,248.6368253667004,Float64(1000),3,905,5,0.6306856985050516,0.005,1000,Float64(1000),exact,91.82513548624148,false,0.6306856985049428,5,200,500
248.63682536667335,6.413106918334961,0.6306856985050722,0.05,Float64(1000),2.0,156.81168988045903,248.63682536670052,Float64(1000),3,906,5,0.6306856985050521,0.005,1000,Float64(1000),exact,91.82513548624148,false,0.6306856985049428,5,200,500
248.63682536667335,6.420474052429199,0.6306856985050722,0.05,Float64(1000),2.0,156.81168988045914,248.63682536670063,Float64(1000),3,907,5,0.6306856985050525,0.005,1000,Float64(1000),exact,91.82513548624148,false,0.6306856985049428,5,200,500
248.63682536667335,6.4278318881988525,0.6306856985050722,0.05,Float64(1000),2.0,156.81168988045908,248.63682536670058,Float64(1000),3,908,5,0.6306856985050523,0.005,1000,Float64(1000),exact,91.82513548624148,false,0.6306856985049428,5,200,500
248.63682536667335,6.435816049575806,0.6306856985050722,0.05,Float64(1000),2.0,156.81168988045914,248.6368253667006,Float64(1000),3,909,5,0.6306856985050525,0.005,1000,Float64(1000),exact,91.82513548624148,false,0.6306856985049428,5,200,500
248.63682536667335,6.443138122558594,0.6306856985050722,0.05,Float64(1000),2.0,156.81168988045926,248.63682536670075,Float64(1000),3,910,5,0.630685698505053,0.005,1000,Float64(1000),exact,91.82513548624148,false,0.6306856985049428,5,200,500
248.63682536667335,6.451093912124634,0.6306856985050722,0.05,Float64(1000),2.0,156.81168988045926,248.63682536670072,Float64(1000),3,911,5,0.630685698505053,0.005,1000,Float64(1000),exact,91.82513548624148,false,0.6306856985049428,5,200,500
248.63682536667335,6.458449125289917,0.6306856985050722,0.05,Float64(1000),2.0,156.8116898804593,248.63682536670078,Float64(1000),3,912,5,0.6306856985050532,0.005,1000,Float64(1000),exact,91.82513548624148,false,0.6306856985049428,5,200,500
248.63682536667335,6.466373920440674,0.6306856985050722,0.05,Float64(1000),2.0,156.8116898804593,248.6368253667008,Float64(1000),3,913,5,0.6306856985050532,0.005,1000,Float64(1000),exact,91.82513548624148,false,0.6306856985049428,5,200,500
248.63682536667335,6.473704099655151,0.6306856985050722,0.05,Float64(1000),2.0,156.81168988045937,248.63682536670086,Float64(1000),3,914,5,0.6306856985050534,0.005,1000,Float64(1000),exact,91.82513548624148,false,0.6306856985049428,5,200,500
248.63682536667335,6.4810380935668945,0.6306856985050722,0.05,Float64(1000),2.0,156.81168988045943,248.6368253667009,Float64(1000),3,915,5,0.6306856985050536,0.005,1000,Float64(1000),exact,91.82513548624148,false,0.6306856985049428,5,200,500
248.63682536667335,6.488982915878296,0.6306856985050722,0.05,Float64(1000),2.0,156.81168988045943,248.6368253667009,Float64(1000),3,916,5,0.6306856985050536,0.005,1000,Float64(1000),exact,91.82513548624148,false,0.6306856985049428,5,200,500
248.63682536667335,6.496323108673096,0.6306856985050722,0.05,Float64(1000),2.0,156.81168988045954,248.636825366701,Float64(1000),3,917,5,0.6306856985050541,0.005,1000,Float64(1000),exact,91.82513548624148,false,0.6306856985049428,5,200,500
248.63682536667335,6.504225015640259,0.6306856985050722,0.05,Float64(1000),2.0,156.8116898804596,248.63682536670106,Float64(1000),3,918,5,0.6306856985050543,0.005,1000,Float64(1000),exact,91.82513548624148,false,0.6306856985049428,5,200,500
248.63682536667335,6.511564016342163,0.6306856985050722,0.05,Float64(1000),2.0,156.8116898804597,248.63682536670117,Float64(1000),3,919,5,0.6306856985050548,0.005,1000,Float64(1000),exact,91.82513548624148,false,0.6306856985049428,5,200,500
248.63682536667335,6.519498109817505,0.6306856985050722,0.05,Float64(1000),2.0,156.81168988045965,248.63682536670115,Float64(1000),3,920,5,0.6306856985050546,0.005,1000,Float64(1000),exact,91.82513548624148,false,0.6306856985049428,5,200,500
248.63682536667335,6.526896953582764,0.6306856985050722,0.05,Float64(1000),2.0,156.81168988045982,248.63682536670132,Float64(1000),3,921,5,0.6306856985050553,0.005,1000,Float64(1000),exact,91.82513548624148,false,0.6306856985049428,5,200,500
