n,p_K,Fstar,passes,time,final_relgap,reg,strategy,amplitude,gaps,primals,reached_tol,dual_relgaps,dual_cert,it,pass,K,s,relgaps,p
500,0.05,146.30070252466783,1000,0.7179749011993408,2.2616595911789793e-6,0.05,gradient,0.5,1.717898583986539,148.01860110865437,false,Float64(1000),5.0413609193264335e-5,1,90,5,5,0.011742244256803097,200
500,0.05,146.30070252466783,1000,0.7242679595947266,2.2616595911789793e-6,0.05,gradient,0.5,1.693244509803094,147.99394703447092,false,Float64(1000),5.0413609193264335e-5,1,91,5,5,0.011573727812534565,200
500,0.05,146.30070252466783,1000,0.7301089763641357,2.2616595911789793e-6,0.05,gradient,0.5,1.6690119131139625,147.9697144377818,false,Float64(1000),5.0413609193264335e-5,1,92,5,5,0.011408092266901792,200
500,0.05,146.30070252466783,1000,0.7362508773803711,2.2616595911789793e-6,0.05,gradient,0.5,1.6451958760470689,147.9458984007149,false,Float64(1000),5.0413609193264335e-5,1,93,5,5,0.011245304005082762,200
500,0.05,146.30070252466783,1000,0.7424790859222412,2.2616595911789793e-6,0.05,gradient,0.5,1.621775154334017,147.92247767900184,false,Float64(1000),5.0413609193264335e-5,1,94,5,5,0.01108521781746447,200
500,0.05,146.30070252466783,1000,0.7487058639526367,2.2616595911789793e-6,0.05,gradient,0.5,1.5987460255124404,147.89944855018027,false,Float64(1000),5.0413609193264335e-5,1,95,5,5,0.010927808260133781,200
500,0.05,146.30070252466783,1000,0.7554020881652832,2.2616595911789793e-6,0.05,gradient,0.5,1.5761016134377996,147.87680413810563,false,Float64(1000),5.0413609193264335e-5,1,96,5,5,0.010773028333011952,200
500,0.05,146.30070252466783,1000,0.7616050243377686,2.2616595911789793e-6,0.05,gradient,0.5,1.553829096017239,147.85453162068507,false,Float64(1000),5.0413609193264335e-5,1,97,5,5,0.010620790394053283,200
500,0.05,146.30070252466783,1000,0.7683300971984863,2.2616595911789793e-6,0.05,gradient,0.5,1.5319235346850064,147.83262605935283,false,Float64(1000),5.0413609193264335e-5,1,98,5,5,0.010471060686989579,200
500,0.05,146.30070252466783,1000,0.774224042892456,2.2616595911789793e-6,0.05,gradient,0.5,1.5103848145823804,147.8110873392502,false,Float64(1000),5.0413609193264335e-5,1,99,5,5,0.010323838426734238,200
500,0.05,146.30070252466783,1000,0.7800960540771484,2.2616595911789793e-6,0.05,gradient,0.5,1.4892093876093213,147.78991191227715,false,Float64(1000),5.0413609193264335e-5,1,100,5,5,0.01017909936118198,200
500,0.02,255.8480867890387,20,0.042307138442993164,1.0e-20,0.05,exact,2.0,11.442239051189063,267.29032584022775,true,Float64(33),7.563500487042623e-6,3,4,5,5,0.04472278528556612,200
500,0.02,255.8480867890387,20,0.05151700973510742,1.0e-20,0.05,exact,2.0,4.607362199974716,260.4554489890134,true,Float64(33),7.563500487042623e-6,3,5,5,5,0.018008194854213424,200
500,0.02,255.8480867890387,20,0.059561967849731445,1.0e-20,0.05,exact,2.0,2.016391881104198,257.8644786701429,true,Float64(33),7.563500487042623e-6,3,6,5,5,0.007881207580679811,200
500,0.02,255.8480867890387,20,0.06580615043640137,1.0e-20,0.05,exact,2.0,1.045906914322643,256.89399370336133,true,Float64(33),7.563500487042623e-6,3,7,5,5,0.00408799974801083,200
