commit,cell_id,cell_name,mu0,reg,seed,n,p,lambda_,n_iter,stop_crit,primal,runtime,converged,intercept,strategy
b03644fe,75,cell_075,0.9,0.1,3,500,1000,0.013139267387440413,896,9.979482674629669e-9,0.34030086780082,3.4562972669991723,true,1.7359120453336796,gradient
b03644fe,76,cell_076,0.9,0.05,3,500,1000,0.006569633693720206,1798,9.946859078038134e-9,0.23134016674132912,7.798388788000011,true,2.2512353296855627,gradient
b03644fe,77,cell_077,0.9,0.02,3,500,1000,0.0026278534774880824,5000,1.538861401464021e-8,0.12488339094998346,21.150803730000916,false,3.007440099874653,gradient
b03644fe,78,cell_078,0.9,0.01,3,500,1000,0.0013139267387440412,5000,8.76603005304915e-6,0.07462921438638331,23.26171149199945,false,3.594799697431735,gradient
b03644fe,79,cell_079,0.95,0.5,3,500,1000,0.05953592169030551,385,9.83385774867146e-9,0.4776482805711084,0.8915329589999601,true,1.465482884953265,gradient
b03644fe,80,cell_080,0.95,0.2,3,500,1000,0.023814368676122206,753,9.949274618840236e-9,0.37717934353517557,1.9632643189997907,true,1.906558980203292,gradient
b03644fe,81,cell_081,0.95,0.1,3,500,1000,0.011907184338061103,1423,9.99472404938223e-9,0.2799353434234665,4.527077365999503,true,2.461401731340168,gradient
b03644fe,82,cell_082,0.95,0.05,3,500,1000,0.0059535921690305514,3183,9.993337634102341e-9,0.18740350065136796,11.161414562000573,true,3.1729658350039562,gradient
b03644fe,83,cell_083,0.95,0.02,3,500,1000,0.0023814368676122206,5000,2.9444037416418333e-6,0.09986018500271271,18.64697339399936,false,4.207443485863746,gradient
b03644fe,84,cell_084,0.95,0.01,3,500,1000,0.0011907184338061103,5000,5.440099277353307e-5,0.05929505240055442,19.85082318700006,false,4.8933440457210615,gradient
b03644fe,85,cell_085,0.99,0.5,3,500,1000,0.031911438182327195,903,9.961938137539179e-9,0.2898330235958411,2.11610029700023,true,2.4619345791906935,gradient
b03644fe,86,cell_086,0.99,0.2,3,500,1000,0.01276457527293088,2205,9.954533567916798e-9,0.2078679362592235,6.222952414000247,true,3.2830269010892477,gradient
b03644fe,87,cell_087,0.99,0.1,3,500,1000,0.00638228763646544,4806,9.97683657228028e-9,0.1401385542670142,15.004088818999662,true,4.15667452179849,gradient
b03644fe,88,cell_088,0.99,0.05,3,500,1000,0.00319114381823272,2299,9.989259410507359e-9,0.08792489903863451,8.74291912300032,true,5.104698455966352,gradient
b03644fe,89,cell_089,0.99,0.02,3,500,1000,0.0012764575272930878,5000,2.4773231091286637e-8,0.044488002727616535,21.402780750999227,false,6.364104970813262,gradient
b03644fe,90,cell_090,0.99,0.01,3,500,1000,0.0006382287636465439,5000,6.088056139808527e-8,0.02574669348544639,32.993113502001506,false,7.304978881441419,gradient
8f9cbd77,1,cell_001,0.5,0.5,1,500,1000,0.07917128683754507,8,1.7855563416713238e-9,0.6623659061806706,2.1313154809995467,true,-0.009350078774789706,newton
8f9cbd77,2,cell_002,0.5,0.2,1,500,1000,0.03166851473501803,5,2.5115174731582535e-9,0.5320171780440297,0.019159702000251855,true,-0.017679001482276215,newton
8f9cbd77,3,cell_003,0.5,0.1,1,500,1000,0.015834257367509014,9,1.5214844557853713e-9,0.41318333349974523,0.052922518998457235,true,-0.01264799295159676,newton
8f9cbd77,4,cell_004,0.5,0.05,1,500,1000,0.007917128683754507,11,4.445754160642412e-9,0.2901559718582377,0.11493141899882175,true,-0.0061805340037407175,newton
8f9cbd77,5,cell_005,0.5,0.02,1,500,1000,0.003166851473501803,15,2.2139554473575573e-9,0.16133788592331127,0.5043312119996699,true,-0.015526279001250032,newton
8f9cbd77,6,cell_006,0.5,0.01,1,500,1000,0.0015834257367509015,15,3.039654219300081e-9,0.09766442243538569,0.8273317740004131,true,-0.01940908472960956,newton
8f9cbd77,7,cell_007,0.7,0.5,1,500,1000,0.06860904574424775,2,5.913620954034471e-9,0.638847279699059,0.008451155999864568,true,0.32324506456028557,newton
8f9cbd77,8,cell_008,0.7,0.2,1,500,1000,0.027443618297699104,5,2.5463989875018633e-9,0.5014150715477719,0.019584198998927604,true,0.42102192143096095,newton
8f9cbd77,9,cell_009,0.7,0.1,1,500,1000,0.013721809148849552,9,3.567756428832225e-9,0.3792678872234666,0.05603296700064675,true,0.5586351323240523,newton
8f9cbd77,10,cell_010,0.7,0.05,1,500,1000,0.006860904574424776,12,5.654641446924125e-9,0.2586601066999248,0.1304554210000788,true,0.7374400191460898,newton
8f9cbd77,11,cell_011,0.7,0.02,1,500,1000,0.00274436182976991,15,3.338691413178746e-9,0.14031850863693118,0.5566821280008298,true,0.9959909537436715,newton
8f9cbd77,12,cell_012,0.7,0.01,1,500,1000,0.001372180914884955,16,9.107375191236972e-9,0.08405972827820953,0.8771306729995558,true,1.1841692052429635,newton
8f9cbd77,13,cell_013,0.9,0.5,1,500,1000,0.06306968535257798,4,2.854660952067434e-14,0.5712091408342816,0.013366986000619363,true,0.9524318621629115,newton
8f9cbd77,14,cell_014,0.9,0.2,1,500,1000,0.025227874141031194,6,4.760904379064179e-10,0.44384726371258393,0.02476306599965028,true,1.270308265130613,newton
8f9cbd77,15,cell_015,0.9,0.1,1,500,1000,0.012613937070515597,9,4.155421232804324e-10,0.33125964661646795,0.062405611999565735,true,1.6682251102900028,newton
8f9cbd77,16,cell_016,0.9,0.05,1,500,1000,0.006306968535257799,12,3.6347899620703394e-9,0.22476839487663705,0.1670219879997603,true,2.1900842727775025,newton
8f9cbd77,17,cell_017,0.9,0.02,1,500,1000,0.0025227874141031193,15,6.690281784734603e-9,0.12141524802339948,0.4075479900002392,true,2.958414593475009,newton
8f9cbd77,18,cell_018,0.9,0.01,1,500,1000,0.0012613937070515596,17,3.842860918801955e-9,0.07256712354074153,1.1741101420011546,true,3.537053227036041,newton
8f9cbd77,19,cell_019,0.95,0.5,1,500,1000,0.05722651426800462,4,1.7005147290305445e-13,0.500713961700928,0.013203052998505882,true,1.3477986977233563,newton
8f9cbd77,20,cell_020,0.95,0.2,1,500,1000,0.022890605707201847,6,7.158814166463578e-11,0.39000748845348143,0.024477592998664477,true,1.776665569588335,newton
8f9cbd77,21,cell_021,0.95,0.1,1,500,1000,0.011445302853600924,10,2.311661043141733e-9,0.28948441392164137,0.06934569400073087,true,2.2632198430027777,newton
8f9cbd77,22,cell_022,0.95,0.05,1,500,1000,0.005722651426800462,13,8.219451238557218e-9,0.19434768526367707,0.18755520200102183,true,2.874446364114531,newton
8f9cbd77,23,cell_023,0.95,0.02,1,500,1000,0.002289060570720185,14,4.935116153844538e-9,0.1035871777241124,0.38935674899948935,true,3.7582542899354783,newton
8f9cbd77,24,cell_024,0.95,0.01,1,500,1000,0.0011445302853600925,16,9.924470911748529e-9,0.061475504364945255,1.1319157460002316,true,4.45208896110621,newton
8f9cbd77,25,cell_025,0.99,0.5,1,500,1000,0.03890253233698592,5,1.851507711037037e-9,0.32443653759,0.015527788998952019,true,2.2707634553367684,newton
8f9cbd77,26,cell_026,0.99,0.2,1,500,1000,0.01556101293479437,7,2.4935564550687683e-9,0.2412958669293335,0.034550549999039504,true,2.9939009457449286,newton
8f9cbd77,27,cell_027,0.99,0.1,1,500,1000,0.007780506467397185,12,2.1800268985849858e-9,0.16879597809543395,0.10676034300013271,true,3.8363511785960127,newton
