problem,type,thresh,npasses,primal,final_lambda,runtime,jerr,subopt,mode
w1a,modified.Newton,0.01,50,0.0650572907905659,0.00239220465394627,0.0309999999999997,0,0.0016765841913052998,modified.Newton
w1a,modified.Newton,0.00316227766016838,50,0.0650572907905659,0.00239220465394627,0.0270000000000001,0,0.0016765841913052998,modified.Newton
w1a,modified.Newton,0.001,56,0.0650571416603485,0.00239220465394627,0.0250000000000004,0,0.0016764350610879025,modified.Newton
w1a,modified.Newton,0.000316227766016838,75,0.0650583012972964,0.00239220465394627,0.024,0,0.0016775946980358003,modified.Newton
w1a,modified.Newton,0.0001,130,0.0644422148305985,0.00239220465394627,0.0309999999999997,0,0.0010615082313379098,modified.Newton
w1a,modified.Newton,3.16227766016838e-5,238,0.0637265593004668,0.00239220465394627,0.0390000000000006,0,0.0003458527012062118,modified.Newton
w1a,modified.Newton,1.0e-5,379,0.0634553170035379,0.00239220465394627,0.0499999999999998,0,7.46104042773088e-5,modified.Newton
w1a,modified.Newton,3.16227766016838e-6,575,0.0634046663656827,0.00239220465394627,0.0670000000000002,0,2.3959766422110285e-5,modified.Newton
w1a,modified.Newton,1.0e-6,833,0.0633887290993562,0.00239220465394627,0.0830000000000002,0,8.022500095600238e-6,modified.Newton
w1a,modified.Newton,3.16227766016838e-7,1158,0.063383529492324,0.00239220465394627,0.113,0,2.8228930634005556e-6,modified.Newton
w1a,modified.Newton,1.0e-7,1581,0.0633816308764241,0.00239220465394627,0.162,0,9.242771634998537e-7,modified.Newton
w1a,modified.Newton,3.16227766016838e-8,2032,0.0633810535914096,0.00239220465394627,0.196,0,3.46992149000136e-7,modified.Newton
w1a,modified.Newton,1.0e-8,2551,0.0633808558537746,0.00239220465394627,0.256,0,1.4925451401193168e-7,modified.Newton
w1a,modified.Newton,3.16227766016838e-9,3141,0.0633807735159275,0.00239220465394627,0.302999999999999,0,6.691666690206155e-8,modified.Newton
w1a,modified.Newton,1.0e-9,3817,0.0633807355693492,0.00239220465394627,0.372,0,2.897008860580641e-8,modified.Newton
w1a,modified.Newton,3.16227766016838e-10,4731,0.0633807159952291,0.00239220465394627,0.457000000000001,0,9.3959685032452e-9,modified.Newton
w1a,modified.Newton,1.0e-10,5821,0.0633807094412877,0.00239220465394627,0.584000000000001,0,2.8420270997697727e-9,modified.Newton
w1a,modified.Newton,3.16227766016838e-11,7041,0.06338070751814,0.00239220465394627,0.736000000000001,0,9.188794031222969e-10,modified.Newton
w1a,modified.Newton,1.0e-11,8367,0.0633807069162308,0.00239220465394627,1.159,0,3.1697020008714105e-10,modified.Newton
w1a,modified.Newton,3.16227766016838e-12,9795,0.0633807067197801,0.00239220465394627,1.745,0,1.2051951103764225e-10,modified.Newton
w1a,modified.Newton,1.0e-12,11375,0.0633807066335379,0.00239220465394627,1.736,0,3.427730321803324e-11,modified.Newton
w1a,modified.Newton,3.16227766016838e-13,13080,0.0633807066074707,0.00239220465394627,2.381,0,8.210099267103033e-12,modified.Newton
w1a,modified.Newton,1.0e-13,14858,0.0633807066015412,0.00239220465394627,3.521,0,2.2806062593971888e-12,modified.Newton
news20-3pct,Newton,0.1,50,0.0498542158597898,0.00228639068886428,0.303999999999998,0,0.00011501029558910053,Newton
news20-3pct,Newton,0.0316227766016838,50,0.0498542158597898,0.00228639068886428,0.550999999999998,0,0.00011501029558910053,Newton
news20-3pct,Newton,0.01,50,0.0498542158597898,0.00228639068886428,0.630000000000003,0,0.00011501029558910053,Newton
news20-3pct,Newton,0.00316227766016838,50,0.0498542158597898,0.00228639068886428,0.532,0,0.00011501029558910053,Newton
news20-3pct,Newton,0.001,53,0.0498542158597898,0.00228639068886428,0.587,0,0.00011501029558910053,Newton
news20-3pct,Newton,0.000316227766016838,122,0.0497844319863007,0.00228639068886428,0.686,0,4.522642209999622e-5,Newton
news20-3pct,Newton,0.0001,200,0.0497432238827579,0.00228639068886428,0.569999999999997,0,4.018318557195977e-6,Newton
news20-3pct,Newton,3.16227766016838e-5,222,0.0497431886571291,0.00228639068886428,0.613,0,3.983092928400156e-6,Newton
news20-3pct,Newton,1.0e-5,284,0.0497399200194278,0.00228639068886428,0.648000000000003,0,7.144552270979543e-7,Newton
news20-3pct,Newton,3.16227766016838e-6,337,0.0497394033391645,0.00228639068886428,0.730000000000004,0,1.9777496379491666e-7,Newton
news20-3pct,Newton,1.0e-6,414,0.0497393260590197,0.00228639068886428,0.723999999999997,0,1.2049481899756298e-7,Newton
news20-3pct,Newton,3.16227766016838e-7,481,0.0497392618163538,0.00228639068886428,0.768000000000001,0,5.625215309529308e-8,Newton
news20-3pct,Newton,1.0e-7,576,0.0497392442320382,0.00228639068886428,0.605000000000004,0,3.86678375013938e-8,Newton
news20-3pct,Newton,3.16227766016838e-8,699,0.0497392139404137,0.00228639068886428,0.625999999999998,0,8.376213000982347e-9,Newton
