primals,time,reg,strategy,gaps,dataset,relgaps
157.1683483984809,2.0456011295318604,0.05,gradient,1.9856160465688788,w1a,0.012633689077998039
157.1596267800436,2.059032917022705,0.05,gradient,1.8988560176154579,w1a,0.012082339825565034
157.15136108683777,2.073241949081421,0.05,gradient,1.8166498808485017,w1a,0.011559873667557152
157.143527430112,2.086580991744995,0.05,gradient,1.7373794477314846,w1a,0.011056003872028179
157.13610089290734,2.100109100341797,0.05,gradient,1.6613820293760853,w1a,0.010572885670036855
157.12905848261693,2.113429069519043,0.05,gradient,1.5886015644019835,w1a,0.010110170453148418
157.12237880769845,2.1264901161193848,0.05,gradient,1.5191783712658662,w1a,0.009668758726757718
157.11604189523953,2.1396870613098145,0.05,gradient,1.4525491169250415,w1a,0.009245071982487692
157.1100290457058,2.15311598777771,0.05,gradient,1.389106666003272,w1a,0.008841616760182502
157.10432743477378,2.352437973022461,0.05,gradient,1.3326473189593173,w1a,0.008482562770351459
156.99401032749907,1.2004799842834473,0.05,exact,0.0058152239071489475,w1a,3.70410558658769e-5
156.9940103019525,1.2147281169891357,0.05,exact,0.005018890262505238,w1a,3.196867353634841e-5
156.9940102864264,1.228511095046997,0.05,exact,0.0043018186473489095,w1a,2.740116415588399e-5
156.99401027620988,1.242414951324463,0.05,exact,0.0036975999978778873,w1a,2.3552490896770245e-5
156.994010269044,1.255998134613037,0.05,exact,0.003206888671826391,w1a,2.0426821802504933e-5
156.9940102637516,1.2697350978851318,0.05,exact,0.002812698540310521,w1a,1.7915960841978352e-5
156.9940102597158,1.28330397605896,0.05,exact,0.002492058007618425,w1a,1.5873586536809934e-5
156.99401025660669,1.297173023223877,0.05,exact,0.0022233360227801313,w1a,1.4161916235823831e-5
156.99401025421997,1.3105671405792236,0.05,exact,0.0019897737226131085,w1a,1.2674201515020053e-5
156.99401025239968,1.324221134185791,0.05,exact,0.0017802935597046599,w1a,1.1339882055643252e-5
156.99401025101503,1.3378231525421143,0.05,exact,0.001588719242249681,w1a,1.0119616918565905e-5
156.99401024995834,1.3509881496429443,0.05,exact,0.001412335031375278,w1a,8.996107744025558e-6
156.99401024914675,1.3644790649414062,0.05,exact,0.0012504101612762497,w1a,7.964699795182444e-6
156.99401024851954,1.3777921199798584,0.05,exact,0.0011030229874791075,w1a,7.0258921708735e-6
156.9940102480329,1.3915460109710693,0.05,exact,0.0009702957501076526,w1a,6.180463500325231e-6
156.9940102476546,1.4051239490509033,0.05,exact,0.0008520098282644994,w1a,5.427021240622319e-6
156.99401024736034,1.418652057647705,0.05,exact,0.0007475037757842529,w1a,4.761352198128344e-6
156.99401024713168,1.43231201171875,0.05,exact,0.0006557417576402713,w1a,4.176858445796991e-6
156.99401024695408,1.445547103881836,0.05,exact,0.000575456347405634,w1a,3.665466895841644e-6
156.99401024681612,1.4588439464569092,0.05,exact,0.0005052988139198078,w1a,3.2185865761719748e-6
156.99401024670897,1.6706459522247314,0.05,exact,0.00044395973878863515,w1a,2.8278769240366086e-6
156.9940102466258,1.6929099559783936,0.05,exact,0.000390246505446612,w1a,2.485741365760159e-6
156.99401024656115,1.7199721336364746,0.05,exact,0.0003431196450094376,w1a,2.1855588278212888e-6
156.99401024651104,1.7391610145568848,0.05,exact,0.00030169783477163037,w1a,1.9217155756318747e-6
156.99401024647216,1.7586591243743896,0.05,exact,0.0002652434417882432,w1a,1.689513130926621e-6
156.99401024644197,1.7762720584869385,0.05,exact,0.00023313912697631167,w1a,1.485019247615502e-6
156.99401024641867,1.7947921752929688,0.05,exact,0.00020486308480371918,w1a,1.304910196778622e-6
156.99401024640053,1.8098781108856201,0.05,exact,0.00017996735292058474,w1a,1.146332606181139e-6
156.99401024638652,1.8296661376953125,0.05,exact,0.00015806101839643816,w1a,1.0067964895499966e-6
156.9940102463757,1.8497021198272705,0.05,exact,0.00013879838667207878,w1a,8.840998867043274e-7
156.99401024636734,1.8658311367034912,0.05,exact,0.0001220120338984998,w1a,7.771763630155629e-7
156.9940102463608,1.8824470043182373,0.05,exact,0.00010687936520525909,w1a,6.807862608104605e-7
156.99401024635588,1.8969659805297852,0.05,exact,9.395287727897994e-5,w1a,5.984488015278326e-7
156.99401024635205,1.9103741645812988,0.05,exact,8.246682756407608e-5,w1a,5.252864579653114e-7
156.99401024634903,1.9238359928131104,0.05,exact,7.241834765636668e-5,w1a,4.6128095933552213e-7
156.99401024634668,1.9371190071105957,0.05,exact,6.3596110180697e-5,w1a,4.0508622004690083e-7
156.99401024634486,1.9507231712341309,0.05,exact,5.584698803318133e-5,w1a,3.5572687101596964e-7
156.99401024634346,1.9640231132507324,0.05,exact,4.9040038845760137e-5,w1a,3.123688526002369e-7
156.99401024634244,1.9772961139678955,0.05,exact,4.3060947405137995e-5,w1a,2.742840146421523e-7
156.99401024634156,1.9910540580749512,0.05,exact,3.78093013466696e-5,w1a,2.408327635388285e-7
156.9940102463409,2.0044071674346924,0.05,exact,3.319690458170044e-5,w1a,2.114533193311696e-7
156.99401024634048,2.018120050430298,0.05,exact,2.9146278109237755e-5,w1a,1.8565216636930358e-7
156.99401024634005,2.031327962875366,0.05,exact,2.5589309956330908e-5,w1a,1.6299545387864542e-7
156.99401024633974,2.0445001125335693,0.05,exact,2.2466083095196154e-5,w1a,1.431015301790467e-7
156.99401024633954,2.0578320026397705,0.05,exact,1.9723876789612405e-5,w1a,1.2563458159112975e-7
156.99401024633937,2.071298122406006,0.05,exact,1.731630825929642e-5,w1a,1.1029916512181193e-7
156.9940102463392,2.0846920013427734,0.05,exact,1.5202588599549927e-5,w1a,9.683546891818073e-8
156.99401024633912,2.098050117492676,0.05,exact,1.3346866921892797e-5,w1a,8.501513465991628e-8
156.9940102463391,2.111659049987793,0.05,exact,1.1712169452948729e-5,w1a,7.460265162072859e-8
156.99401024633895,2.124972105026245,0.05,exact,1.0285628690098747e-5,w1a,6.551605805826344e-8
156.99401024633892,2.1384010314941406,0.05,exact,9.030009920252269e-6,w1a,5.7518181146422735e-8
156.99401024633886,2.1517910957336426,0.05,exact,7.926988530471135e-6,w1a,5.049229915226014e-8
156.99401024633886,2.1654231548309326,0.05,exact,6.9589455620189256e-6,w1a,4.432618512706098e-8
156.99401024633886,2.3685669898986816,0.05,exact,6.109383150487702e-6,w1a,3.8914753122756e-8
156.9940102463388,2.3942501544952393,0.05,exact,5.363691713000662e-6,w1a,3.416494492104833e-8
156.99401024633875,2.4130971431732178,0.05,exact,4.704906444885637e-6,w1a,2.996870031858658e-8
156.99401024633875,2.4427530765533447,0.05,exact,4.132424464842188e-6,w1a,2.632217916058081e-8
156.99401024633883,2.4596540927886963,0.05,exact,3.629854120390519e-6,w1a,2.3120972033868844e-8
156.99401024633877,2.481624126434326,0.05,exact,3.1870700638592098e-6,w1a,2.0300583817550675e-8
156.99401024633875,2.497075080871582,0.05,exact,2.7981270136478997e-6,w1a,1.7823145031185384e-8
156.99401024633872,2.514726161956787,0.05,exact,2.455063366824106e-6,w1a,1.563794289331087e-8
156.99401024633855,2.5338521003723145,0.05,exact,2.1555229352543392e-6,w1a,1.3729969263617883e-8
156.99401024633852,2.55086612701416,0.05,exact,1.8921973889973742e-6,w1a,1.2052672493863534e-8
156.9940102463386,2.567005157470703,0.05,exact,1.6618761549125338e-6,w1a,1.058560229339254e-8
156.99401024633858,2.5836119651794434,0.05,exact,1.4591572607969283e-6,w1a,9.294349883204916e-9
156.99401024633852,2.5999131202697754,0.05,exact,1.2811647422950045e-6,w1a,8.160596320106324e-9
156.99401024633852,2.6141879558563232,0.05,exact,1.1248332612012746e-6,w1a,7.164816412016639e-9
156.99401024633852,2.6278910636901855,0.05,exact,9.875412558812968e-7,w1a,6.29031167706176e-9
156.99401024633846,2.6415250301361084,0.05,exact,8.669772739722248e-7,w1a,5.522358927018014e-9
156.99401024633852,2.6548869609832764,0.05,exact,7.611097032622638e-7,w1a,4.848017463010279e-9
156.9940102463385,2.6683809757232666,0.05,exact,6.681537172426033e-7,w1a,4.2559185295936246e-9
156.99401024633846,2.682068109512329,0.05,exact,5.865409207217454e-7,w1a,3.73607196734071e-9
156.99401024633852,2.6957759857177734,0.05,exact,5.148922923581267e-7,w1a,3.2796938657099836e-9
156.99401024633846,2.7088329792022705,0.05,exact,4.519947935932578e-7,w1a,2.879057569674379e-9
156.99401024633846,2.7224700450897217,0.05,exact,3.9680230656813364e-7,w1a,2.5274996539391107e-9
156.9940102463385,2.735974073410034,0.05,exact,3.4830847539524257e-7,w1a,2.218609963836923e-9
156.9940102463385,2.7493810653686523,0.05,exact,3.0576211429433897e-7,w1a,1.9476036940171744e-9
156.9940102463384,2.76300311088562,0.05,exact,2.684053015400423e-7,w1a,1.709653133383172e-9
156.9940102463385,2.7764840126037598,0.05,exact,2.3562719775327423e-7,w1a,1.5008674368120976e-9
156.99401024633852,2.790419101715088,0.05,exact,2.0684450419139466e-7,w1a,1.3175311839403044e-9
156.99401024633858,2.8039050102233887,0.05,exact,1.8158849002247734e-7,w1a,1.1566587141607994e-9
156.99401024633846,2.817363977432251,0.05,exact,1.5942745790198387e-7,w1a,1.0155002579514154e-9
156.99401024633852,2.8308801651000977,0.05,exact,1.399258451328933e-7,w1a,8.912814247711512e-10
156.99401024633846,2.844215154647827,0.05,exact,1.228432893185527e-7,w1a,7.824711855299445e-10
156.99401024633846,2.857678174972534,0.05,exact,1.0785865356410795e-7,w1a,6.870240042589365e-10
156.99401024633846,2.8710720539093018,0.05,exact,9.46793079492636e-8,w1a,6.030759250031438e-10
156.99401024633843,2.8846030235290527,0.05,exact,8.310939847433474e-8,w1a,5.293794224628586e-10
156.9940102463385,2.9216179847717285,0.05,exact,7.295327009160246e-8,w1a,4.6468823859669465e-10
156.99401024633835,3.1172571182250977,0.05,exact,6.401586460924591e-8,w1a,4.0775991713823353e-10
156.9940102463385,3.1369900703430176,0.05,exact,5.6211661103588995e-8,w1a,3.5804971804585137e-10
156.9940102463385,3.1670420169830322,0.05,exact,4.937078301736619e-8,w1a,3.1447558374933384e-10
156.99401024633846,3.183290958404541,0.05,exact,4.333875835982326e-8,w1a,2.760535786799805e-10
156.9940102463384,3.204514980316162,0.05,exact,3.804234438575804e-8,w1a,2.4231717073833594e-10
156.99401024633832,3.2194981575012207,0.05,exact,3.339218324072135e-8,w1a,2.1269717990085025e-10
156.99401024633835,3.236943006515503,0.05,exact,2.931105314019078e-8,w1a,1.8670172890162488e-10
156.99401024633838,3.2515759468078613,0.05,exact,2.5729235630933545e-8,w1a,1.638867342171969e-10
156.99401024633832,3.270550012588501,0.05,exact,2.311531943632872e-8,w1a,1.472369512700428e-10
156.99401024633832,3.2893919944763184,0.05,exact,1.9700195252880803e-8,w1a,1.2548373802267583e-10
156.9940102463383,3.3065831661224365,0.05,exact,1.735105570332962e-8,w1a,1.1052049486540404e-10
156.9940102463383,3.3227791786193848,0.05,exact,1.5283546872524312e-8,w1a,1.0e-10
