passes,init_partial0F,init_relgap,final_relgap,nnz_solution,randomize,strategy,times,dataset,warm_start,reg_grid,lambdamax,start_kind,ordering
300,1.199040866595169e-13,0.06478769222687689,3.245819142108753e-8,173,true,newton,6.467864036560059,w1a,true,0.006608103647168024,16.06419055308849,warm,permuted
300,1.4832579608992091e-13,0.06570446581046534,1.7999774225407193e-6,169,true,newton,6.607356071472168,w1a,true,0.005000000000000002,16.06419055308849,warm,permuted
2,1166.5,0.8103067618827862,-1.0471963586771903e-15,0,false,exact,0.0157468318939209,w1a,false,1.0,16.06419055308849,cold,cyclic
9,1166.5,0.8276765503011937,1.0713493901157017e-9,5,false,exact,0.09478592872619629,w1a,false,0.756646727558943,16.06419055308849,cold,cyclic
33,1166.5,0.8526017531644534,9.710298997596842e-9,12,false,exact,0.5446572303771973,w1a,false,0.5725142703256574,16.06419055308849,cold,cyclic
48,1166.5,0.8767758487791965,4.319544596645317e-9,17,false,exact,0.871100902557373,w1a,false,0.43319104912270473,16.06419055308849,cold,cyclic
58,1166.5,0.8983803897694991,9.469264682296322e-9,25,false,exact,0.8802289962768555,w1a,false,0.32777258972651985,16.06419055308849,cold,cyclic
83,1166.5,0.91698239760121,8.665616702805067e-9,41,false,exact,1.518955945968628,w1a,false,0.2480080574000913,16.06419055308849,cold,cyclic
58,1166.5,0.9326554335424097,8.152602755615334e-9,46,false,exact,1.0118658542633057,w1a,false,0.18765448504002957,16.06419055308849,cold,cyclic
73,1166.5,0.9456720556306124,9.007700087250138e-9,69,false,exact,1.292090892791748,w1a,false,0.14198815201729703,16.06419055308849,cold,cyclic
78,1166.5,0.9563711726185408,8.519551686280606e-9,79,false,exact,1.3606798648834229,w1a,false,0.10743487057602952,16.06419055308849,cold,cyclic
97,1166.5,0.9650964005679238,8.811973148303509e-9,77,false,exact,1.7838499546051025,w1a,false,0.08129024324707132,16.06419055308849,cold,cyclic
111,1166.5,0.9721676187849834,9.720893789462724e-9,102,false,exact,2.051815986633301,w1a,false,0.06150799653536698,16.06419055308849,cold,cyclic
114,1166.5,0.9778691961934661,9.548570551034761e-9,122,false,exact,2.316826105117798,w1a,false,0.04653982429719224,16.06419055308849,cold,cyclic
121,1166.5,0.9824468107061896,8.923537373092312e-9,127,false,exact,2.306177854537964,w1a,false,0.03521420575563868,16.06419055308849,cold,cyclic
