problem,alg,eps,npasses,primal,final_lambda,runtime,subopt,mode
news20-3pct,Newton,3.16227766016838e-8,554,0.0497392412840219,0.00228639068886416,0.790000000000006,3.571520799938721e-8,Newton
news20-3pct,Newton,1.0e-8,678,0.049739212195276,0.00228639068886416,1.128,6.626462101255726e-9,Newton
news20-3pct,Newton,3.16227766016838e-9,793,0.0497392096933705,0.00228639068886416,1.0,4.1245565990388755e-9,Newton
news20-3pct,Newton,1.0e-9,918,0.0497392072697749,0.00228639068886416,1.036,1.7009609970530803e-9,Newton
news20-3pct,Newton,3.16227766016838e-10,1050,0.0497392062652544,0.00228639068886416,1.12299999999999,6.964405024900699e-10,Newton
news20-3pct,Newton,1.0e-10,1216,0.0497392057832187,0.00228639068886416,1.21899999999999,2.144047994701026e-10,Newton
news20-3pct,Newton,3.16227766016838e-11,1373,0.049739205645556,0.00228639068886416,1.738,7.674209878683058e-11,Newton
news20-3pct,Newton,1.0e-11,1575,0.0497392055921166,0.00228639068886416,1.60199999999999,2.330270004735624e-11,Newton
news20-3pct,Newton,3.16227766016838e-12,1752,0.0497392055722649,0.00228639068886416,1.574,3.450996433063125e-12,Newton
news20-3pct,Newton,1.0e-12,1911,0.0497392055699236,0.00228639068886416,1.68300000000001,1.1097026075823635e-12,Newton
news20-3pct,Newton,3.16227766016838e-13,2066,0.0497392055692399,0.00228639068886416,1.76100000000001,4.2599951344257647e-13,Newton
news20-3pct,Newton,1.0e-13,2231,0.0497392055688139,0.00228639068886416,1.88,1.0e-15,Newton
news20-3pct,MM,0.1,90,0.0522438357951362,0.00228639068886416,0.444000000000003,0.002504630226322302,MM
news20-3pct,MM,0.0316227766016838,90,0.0522438357951362,0.00228639068886416,0.439000000000007,0.002504630226322302,MM
news20-3pct,MM,0.01,90,0.0522438357951362,0.00228639068886416,0.440999999999988,0.002504630226322302,MM
news20-3pct,MM,0.00316227766016838,90,0.0522438357951362,0.00228639068886416,0.448000000000008,0.002504630226322302,MM
news20-3pct,MM,0.001,93,0.0522436824996799,0.00228639068886416,0.436000000000007,0.002504476930866001,MM
news20-3pct,MM,0.000316227766016838,101,0.0522434338328999,0.00228639068886416,0.438999999999993,0.0025042282640860003,MM
news20-3pct,MM,0.0001,125,0.0522231058368921,0.00228639068886416,0.439999999999998,0.0024839002680782027,MM
news20-3pct,MM,3.16227766016838e-5,191,0.0518663839524209,0.00228639068886416,0.454000000000008,0.0021271783836070007,MM
news20-3pct,MM,1.0e-5,294,0.051085448830015,0.00228639068886416,0.477999999999994,0.0013462432612010994,MM
news20-3pct,MM,3.16227766016838e-6,446,0.0506027992734594,0.00228639068886416,0.515000000000001,0.0008635937046454975,MM
news20-3pct,MM,1.0e-6,664,0.0502017113223512,0.00228639068886416,0.584999999999994,0.000462505753537297,MM
news20-3pct,MM,3.16227766016838e-7,975,0.0499360998014374,0.00228639068886416,0.703000000000003,0.00019689423262349987,MM
news20-3pct,MM,1.0e-7,1428,0.0498211349025558,0.00228639068886416,0.891000000000005,8.192933374189665e-5,MM
news20-3pct,MM,3.16227766016838e-8,2060,0.0497666543391914,0.00228639068886416,1.15599999999999,2.7448770377497267e-5,MM
news20-3pct,MM,1.0e-8,3065,0.0497452013594707,0.00228639068886416,1.681,5.995790656798672e-6,MM
news20-3pct,MM,3.16227766016838e-9,4423,0.0497394632008983,0.00228639068886416,2.429,2.576320844022151e-7,MM
news20-3pct,MM,1.0e-9,5871,0.0497392534156087,0.00228639068886416,3.23099999999999,4.784679479702403e-8,MM
news20-3pct,MM,3.16227766016838e-10,7271,0.0497392129355811,0.00228639068886416,4.051,7.366767196259616e-9,MM
news20-3pct,MM,1.0e-10,8673,0.0497392071425014,0.00228639068886416,4.949,1.5736874997562822e-9,MM
news20-3pct,MM,3.16227766016838e-11,10085,0.049739206017376,0.00228639068886416,5.68000000000001,4.4856209718835416e-10,MM
news20-3pct,MM,1.0e-11,11550,0.0497392057217836,0.00228639068886416,6.58700000000002,1.5296969940736815e-10,MM
news20-3pct,MM,3.16227766016838e-12,13041,0.0497392056266122,0.00228639068886416,7.221,5.77983008676064e-11,MM
news20-3pct,MM,1.0e-12,14547,0.0497392055916927,0.00228639068886416,8.36800000000002,2.2878803018766547e-11,MM
news20-3pct,MM,3.16227766016838e-13,16106,0.0497392055778393,0.00228639068886416,9.44400000000002,9.02539848413042e-12,MM
news20-3pct,MM,1.0e-13,17683,0.0497392055711684,0.00228639068886416,10.299,2.354498540579897e-12,MM
